"","X","Lat","Long","loc","unique"
"130",130,44.0845,-70.1696,"Lewiston , ME",FALSE
"134",134,42.5051,-71.2047,"Burlington , MA",FALSE
"135",135,42.3955,-71.1816,"Belmont , MA",FALSE
"136",136,45.5222,-122.8593,"Beaverton , OR",FALSE
"137",137,42.3722,-71.1787,"Watertown , MA",FALSE
"140",140,33.5368,-97.9683,"Bowie , TX",FALSE
"141",141,40.7684,-74.4942,"Morristown , NJ",FALSE
"142",142,38.8749,-77.0325,"Washington , DC",FALSE
"144",144,40.5453,-74.1786,"Staten Island , NY",FALSE
"145",145,40.2216,-75.238,"North Wales , PA",FALSE
"147",147,42.6465,-83.3554,"Waterford , MI",FALSE
"148",148,42.7042,-84.4098,"Okemos , MI",FALSE
"150",150,40.5345,-84.6289,"Celina , OH",FALSE
"152",152,44.7467,-93.5004,"Shakopee , MN",FALSE
"153",153,27.9839,-82.7181,"Clearwater , FL",FALSE
"154",154,41.2079,-96.1183,"Omaha , NE",FALSE
"155",155,40.752,-75.0072,"Washington , NJ",FALSE
"157",157,33.9753,-80.461,"Shaw A F B , SC",FALSE
"158",158,37.3885,-122.0741,"Mountain View , CA",FALSE
"159",159,34.4018,-85.7095,"Fort Payne , AL",FALSE
"160",160,35.5153,-79.2007,"Sanford , NC",FALSE
"161",161,32.8795,-96.9398,"Irving , TX",FALSE
"163",163,44.7805,-85.7289,"Traverse City , MI",FALSE
"164",164,35.6767,-81.385,"Hickory , NC",FALSE
"166",166,33.8477,-84.2814,"Atlanta , GA",FALSE
"168",168,42.2935,-84.7509,"Albion , MI",FALSE
"169",169,41.6834,-86.25,"South Bend , IN",FALSE
"171",171,42.6981,-87.9389,"Sturtevant , WI",FALSE
"172",172,40.7924,-86.3798,"Logansport , IN",FALSE
"173",173,33.7818,-117.3317,"Perris , CA",FALSE
"174",174,47.5013,-122.0065,"Issaquah , WA",FALSE
"175",175,38.2075,-83.3989,"Morehead , KY",FALSE
"176",176,42.4655,-82.9013,"Saint Clair Shores , MI",FALSE
"178",178,42.9757,-83.6628,"Burton , MI",FALSE
"180",180,47.7528,-96.5563,"Crookston , MN",FALSE
"181",181,32.5814,-83.6286,"Warner Robins , GA",FALSE
"182",182,38.9348,-77.2672,"Vienna , VA",FALSE
"184",184,29.5142,-95.1903,"Friendswood , TX",FALSE
"185",185,45.0059,-93.4305,"Minneapolis , MN",FALSE
"186",186,42.5452,-75.5588,"Norwich , NY",FALSE
"187",187,41.6327,-93.7374,"Urbandale , IA",FALSE
"188",188,44.0537,-88.7916,"Omro , WI",FALSE
"190",190,34.9286,-118.4052,"Rosamond , CA",FALSE
"191",191,41.8637,-94.1113,"Perry , IA",FALSE
"192",192,45.0101,-93.1519,"Saint Paul , MN",FALSE
"193",193,35.2006,-101.821,"Amarillo , TX",FALSE
"194",194,37.9708,-87.4897,"Evansville , IN",FALSE
"195",195,42.4753,-83.2845,"Southfield , MI",FALSE
"196",196,38.6712,-88.4973,"Flora , IL",FALSE
"197",197,42.6644,-83.2303,"Auburn Hills , MI",FALSE
"198",198,41.787,-88.0833,"Lisle , IL",FALSE
"199",199,41.8032,-88.1341,"Naperville , IL",FALSE
"200",200,41.8392,-88.3612,"Batavia , IL",FALSE
"201",201,40.5282,-88.9801,"Normal , IL",FALSE
"202",202,40.4842,-88.9937,"Bloomington , IL",FALSE
"203",203,41.3926,-88.4455,"Morris , IL",FALSE
"204",204,35.8059,-78.7997,"Cary , NC",FALSE
"205",205,41.1266,-88.8453,"Streator , IL",FALSE
"206",206,41.9349,-87.8851,"Franklin Park , IL",FALSE
"207",207,41.811,-88.0302,"Downers Grove , IL",FALSE
"208",208,42.5244,-71.7657,"Leominster , MA",FALSE
"209",209,41.7949,-87.9709,"Westmont , IL",FALSE
"210",210,38.6729,-121.1488,"Folsom , CA",FALSE
"211",211,27.9112,-98.5865,"Freer , TX",FALSE
"212",212,41.8372,-87.9613,"Oak Brook , IL",FALSE
"213",213,40.3278,-88.9686,"Heyworth , IL",FALSE
"214",214,41.8917,-87.9359,"Elmhurst , IL",FALSE
"215",215,44.8635,-68.8402,"Bangor , ME",FALSE
"216",216,41.8969,-88.2104,"West Chicago , IL",FALSE
"217",217,41.5085,-88.2278,"Joliet , IL",FALSE
"218",218,41.878,-88.0163,"Lombard , IL",FALSE
"219",219,41.9163,-87.8924,"Melrose Park , IL",FALSE
"220",220,41.6989,-88.0789,"Bolingbrook , IL",FALSE
"222",222,34.0024,-117.9757,"Hacienda Heights , CA",FALSE
"223",223,32.1213,-81.1822,"Savannah , GA",FALSE
"225",225,41.7439,-87.9343,"Willowbrook , IL",FALSE
"226",226,41.9845,-72.5571,"Enfield , CT",FALSE
"228",228,33.9869,-117.6555,"Chino , CA",FALSE
"230",230,41.705,-71.4604,"Warwick , RI",FALSE
"231",231,40.4554,-79.66,"Murrysville , PA",FALSE
"235",235,40.4998,-80.1842,"Coraopolis , PA",FALSE
"236",236,38.8251,-90.7289,"O Fallon , MO",FALSE
"239",239,38.3761,-75.6086,"Salisbury , MD",FALSE
"240",240,39.2844,-80.2307,"Bridgeport , WV",FALSE
"241",241,40.8768,-80.2611,"Ellwood City , PA",FALSE
"242",242,40.5728,-79.7248,"New Kensington , PA",FALSE
"243",243,40.3609,-79.9015,"West Mifflin , PA",FALSE
"244",244,37.5073,-91.8828,"Licking , MO",FALSE
"245",245,40.7097,-80.1049,"Cranberry Twp , PA",FALSE
"246",246,40.0582,-80.6362,"Wheeling , WV",FALSE
"247",247,35.8601,-78.8326,"Morrisville , NC",FALSE
"248",248,35.6876,-77.1661,"Greenville , NC",FALSE
"249",249,34.1256,-77.919,"Wilmington , NC",FALSE
"250",250,43.0434,-87.8945,"Milwaukee , WI",FALSE
"251",251,32.7257,-97.3214,"Fort Worth , TX",FALSE
"252",252,35.8181,-78.5636,"Raleigh , NC",FALSE
"253",253,35.162,-76.9585,"New Bern , NC",FALSE
"255",255,31.1823,-81.4926,"Brunswick , GA",FALSE
"258",258,40.9364,-74.1184,"Fair Lawn , NJ",FALSE
"260",260,35.9666,-79.041,"Chapel Hill , NC",FALSE
"261",261,35.5805,-77.0127,"Washington , NC",FALSE
"263",263,36.2779,-102.0156,"Stratford , TX",FALSE
"264",264,43.561,-116.2135,"Boise , ID",FALSE
"265",265,35.0632,-76.7017,"Oriental , NC",FALSE
"266",266,38.8177,-77.1527,"Alexandria , VA",FALSE
"267",267,38.9881,-77.4755,"Sterling , VA",FALSE
"268",268,38.7932,-77.5366,"Manassas , VA",FALSE
"269",269,38.4348,-77.9866,"Culpeper , VA",FALSE
"271",271,30.3533,-81.499,"Jacksonville , FL",FALSE
"272",272,38.2357,-84.9592,"Frankfort , KY",FALSE
"274",274,38.9841,-77.3827,"Herndon , VA",FALSE
"277",277,38.7179,-77.8521,"Warrenton , VA",FALSE
"279",279,38.86,-77.0987,"Arlington , VA",FALSE
"280",280,38.0964,-78.1814,"Gordonsville , VA",FALSE
"282",282,38.6249,-77.6252,"Catlett , VA",FALSE
"284",284,39.1492,-78.278,"Winchester , VA",FALSE
"285",285,34.4153,-118.794,"Piru , CA",FALSE
"287",287,39.0487,-77.6082,"Leesburg , VA",FALSE
"288",288,36.7646,-76.199,"Chesapeake , VA",FALSE
"289",289,38.9499,-77.2223,"Mc Lean , VA",FALSE
"290",290,38.5359,-77.4219,"Quantico , VA",FALSE
"291",291,35.5446,-78.8309,"Fuquay Varina , NC",FALSE
"292",292,42.7423,-86.0661,"Holland , MI",FALSE
"293",293,40.0122,-82.8095,"Blacklick , OH",FALSE
"294",294,33.4468,-86.7404,"Birmingham , AL",FALSE
