"","X","Lat","Long","loc","unique"
"15471",15471,41.9866,-72.2534,"Stafford Springs , CT",FALSE
"15472",15472,42.8955,-78.7071,"Depew , NY",FALSE
"15474",15474,48.8522,-100.4018,"Bottineau , ND",FALSE
"15477",15477,45.5667,-73.65,"Fabreville , QC",FALSE
"15478",15478,55.1667,-114.0333,"Smith , AB",FALSE
"15479",15479,44.2246,-95.1242,"Sanborn , MN",FALSE
"15482",15482,42.1084,-83.1027,"Amherstburg , ON",FALSE
"15485",15485,36.2939,-119.8286,"Lemoore , CA",FALSE
"15486",15486,41.0207,-91.5839,"Mount Pleasant , IA",FALSE
"15488",15488,31.452,-98.5593,"Goldthwaite , TX",FALSE
"15489",15489,43.6451,-95.5644,"Worthington , MN",FALSE
"15490",15490,38.214,-90.0135,"Red Bud , IL",FALSE
"15491",15491,49.3167,-117.6667,"Castlegar , BC",FALSE
"15492",15492,51,-118.1833,"Revelstoke , BC",FALSE
"15493",15493,29.442,-82.877,"Chiefland , FL",FALSE
"15495",15495,40.0263,-85.5046,"Middletown , IN",FALSE
"15496",15496,40.7735,-86.7154,"Monticello , IN",FALSE
"15497",15497,50.0167,-125.25,"Campbell River , BC",FALSE
"15502",15502,41.2908,-93.1405,"Knoxville , IA",FALSE
"15507",15507,42.7835,-72.8679,"Whitingham , VT",FALSE
"15510",15510,40.2072,-91.6022,"Canton , MO",FALSE
"15518",15518,36.2786,-100.7714,"Perryton , TX",FALSE
"15520",15520,29.6486,-81.6376,"Palatka , FL",FALSE
"15521",15521,26.9772,-82.1554,"Port Charlotte , FL",FALSE
"15522",15522,34.6299,-88.5711,"Booneville , MS",FALSE
"15525",15525,33.1288,-107.0276,"Truth Or Consequences , NM",FALSE
"15526",15526,32.5004,-107.1604,"Hatch , NM",FALSE
"15527",15527,35.4999,-108.8509,"Gallup , NM",FALSE
"15528",15528,36.0928,-111.1312,"Tuba City , AZ",FALSE
"15529",15529,41.637,-109.6515,"Green River , WY",FALSE
"15530",15530,43.0563,-104.3628,"Lusk , WY",FALSE
"15532",15532,42.5543,-110.2566,"Big Piney , WY",FALSE
"15533",15533,42.8416,-109.8638,"Pinedale , WY",FALSE
"15534",15534,44.2195,-106.6002,"Buffalo , WY",FALSE
"15535",15535,44.3827,-104.4165,"Sundance , WY",FALSE
"15536",15536,40.2379,-105.4264,"Lyons , CO",FALSE
"15537",15537,39.7156,-105.5804,"Idaho Springs , CO",FALSE
"15538",15538,32.8251,-109.7881,"Thatcher , AZ",FALSE
"15539",15539,31.5452,-109.4677,"Douglas , AZ",FALSE
"15540",15540,44.063,-116.7038,"Payette , ID",FALSE
"15541",15541,41.8267,-111.875,"Smithfield , UT",FALSE
"15542",15542,41.6065,-111.7241,"Hyrum , UT",FALSE
"15544",15544,41.5178,-112.0408,"Brigham City , UT",FALSE
"15545",15545,39.5512,-111.3938,"Mount Pleasant , UT",FALSE
"15549",15549,43.3075,-71.8262,"Warner , NH",FALSE
"15558",15558,40.8778,-73.0045,"Coram , NY",FALSE
"15561",15561,41.4878,-73.0627,"Naugatuck , CT",FALSE
"15565",15565,33.8173,-117.8101,"Villa Park , CA",FALSE
"15567",15567,41.5603,-86.4234,"North Liberty , IN",FALSE
"15568",15568,42.7853,-83.5864,"Holly , MI",FALSE
"15570",15570,40.6248,-74.8939,"Annandale , NJ",FALSE
"15571",15571,40.572,-85.7691,"Sweetser , IN",FALSE
"15573",15573,37.8463,-103.5836,"La Junta , CO",FALSE
"15576",15576,45.5044,-92.6208,"Saint Croix Falls , WI",FALSE
"15578",15578,37.085,-76.9153,"Dendron , VA",FALSE
"15579",15579,46.4518,-122.7656,"Toledo , WA",FALSE
"15583",15583,39.1866,-121.2011,"Penn Valley , CA",FALSE
"15584",15584,33.4158,-110.1113,"San Carlos , AZ",FALSE
"15589",15589,39.8332,-81.9531,"Philo , OH",FALSE
"15592",15592,44.5668,-69.8822,"Oakland , ME",FALSE
"15593",15593,38.2699,-88.0086,"Grayville , IL",FALSE
"15595",15595,41.249,-75.9615,"Plymouth , PA",FALSE
"15598",15598,39.8951,-76.9767,"Abbottstown , PA",FALSE
"15600",15600,45.805,-94.5672,"Upsala , MN",FALSE
"15601",15601,39.9718,-89.2931,"Mount Pulaski , IL",FALSE
"15604",15604,40.2706,-78.0432,"Cassville , PA",FALSE
"15605",15605,44.3828,-116.5891,"Midvale , ID",FALSE
"15607",15607,39.6671,-88.0382,"Oakland , IL",FALSE
"15611",15611,41.1143,-84.8757,"Woodburn , IN",FALSE
"15612",15612,44.301,-92.6589,"Zumbrota , MN",FALSE
"15613",15613,33.8224,-81.0734,"Gaston , SC",FALSE
"15614",15614,38.1947,-75.7057,"Princess Anne , MD",FALSE
"15640",15640,37.1027,-121.6001,"San Martin , CA",FALSE
"15643",15643,42.627,-70.8602,"South Hamilton , MA",FALSE
"15645",15645,42.8555,-85.8828,"Hudsonville , MI",FALSE
"15646",15646,39.5983,-119.7758,"Sun Valley , NV",FALSE
"15647",15647,40.2149,-88.4046,"Mahomet , IL",FALSE
"15650",15650,38.3745,-85.4531,"Buckner , KY",FALSE
"15651",15651,40.7517,-73.8832,"Jackson Heights , NY",FALSE
"15652",15652,37.0074,-81.792,"Cedar Bluff , VA",FALSE
"15658",15658,35.9799,-78.5097,"Wake Forest , NC",FALSE
"15659",15659,35.6271,-82.3936,"Swannanoa , NC",FALSE
"15660",15660,35.2178,-81.0394,"Belmont , NC",FALSE
"15661",15661,35.8813,-82.5134,"Mars Hill , NC",FALSE
"15662",15662,35.0449,-77.4214,"Trenton , NC",FALSE
"15663",15663,35.6026,-76.7382,"Pinetown , NC",FALSE
"15664",15664,35.7992,-77.845,"Elm City , NC",FALSE
"15665",15665,36.5227,-80.9668,"Ennice , NC",FALSE
"15669",15669,48.5951,-116.4093,"Naples , ID",FALSE
"15671",15671,33.2199,-85.8795,"Ashland , AL",FALSE
"15681",15681,44.058,-79.4526,"Newmarket , ON",FALSE
"15685",15685,43.1,-79.05,"Niagara Falls , ON",FALSE
"15707",15707,41.2559,-96.1238,"Boys Town , NE",FALSE
"15708",15708,41.3053,-84.0037,"Malinta , OH",FALSE
"15712",15712,29.4519,-90.6159,"Chauvin , LA",FALSE
"15713",15713,32.5277,-92.7253,"Grambling , LA",FALSE
"15714",15714,38.71,-105.14,"Victor , CO",FALSE
"15715",15715,42.4076,-82.1911,"Chatham , ON",FALSE
"15716",15716,41.3704,-111.2785,"Woodruff , UT",FALSE
"15717",15717,21.5488,-158.0298,"Wahiawa , HI",FALSE
"15719",15719,46.5632,-90.9065,"Ashland , WI",FALSE
"15721",15721,37.3451,-81.4179,"Leckie , WV",FALSE
"15722",15722,44.2761,-90.7962,"Black River Falls , WI",FALSE
"15724",15724,42.0488,-91.6875,"Hiawatha , IA",FALSE
"15725",15725,28.1911,-81.6068,"Davenport , FL",FALSE
"15727",15727,41.8845,-95.0634,"Manning , IA",FALSE
"15729",15729,41.7889,-78.2586,"Port Allegany , PA",FALSE
"15732",15732,36.7787,-77.0692,"Courtland , VA",FALSE
"15733",15733,40.9581,-96.5295,"Waverly , NE",FALSE
"15735",15735,33.0503,-95.7237,"Brashear , TX",FALSE
"15741",15741,38.3448,-76.5806,"Hollywood , MD",FALSE
"15742",15742,30.8047,-81.6277,"Kings Bay , GA",FALSE
"15745",15745,34.7034,-113.6113,"Wikieup , AZ",FALSE
"15746",15746,24.8598,-168.0218,"Tamc , HI",FALSE
"15747",15747,42.2818,-94.2908,"Gowrie , IA",FALSE
"15748",15748,41.482,-91.8523,"Wellman , IA",FALSE
"15750",15750,28.0086,-81.9076,"Eaton Park , FL",FALSE
"15753",15753,33.7922,-93.3217,"Prescott , AR",FALSE
"15754",15754,31.7172,-111.0226,"Amado , AZ",FALSE
"15756",15756,32.9769,-111.504,"Coolidge , AZ",FALSE
"15757",15757,36.6486,-110.1876,"Kayenta , AZ",FALSE
"15758",15758,41.0285,-111.9205,"Kaysville , UT",FALSE
"15759",15759,39.3023,-104.6994,"Franktown , CO",FALSE
"15762",15762,42.6575,-83.4787,"White Lake , MI",FALSE
"15765",15765,28.2337,-82.179,"Zephyrhills , FL",FALSE
"15771",15771,38.7385,-77.185,"Newington , VA",FALSE
"15772",15772,40.5155,-120.3102,"Litchfield , CA",FALSE
"15776",15776,40.0267,-111.6452,"Salem , UT",FALSE
"15782",15782,39.6081,-105.2072,"Morrison , CO",FALSE
"15783",15783,39.645,-106.5942,"Edwards , CO",FALSE
"15784",15784,28.3819,-82.6505,"Hudson , FL",FALSE
"15785",15785,39.9474,-105.4593,"Pinecliffe , CO",FALSE
"15786",15786,42.2955,-90.6182,"La Motte , IA",FALSE
"15787",15787,43.234,-94.737,"Graettinger , IA",FALSE
"15788",15788,42.1491,-94.5175,"Churdan , IA",FALSE
"15789",15789,43.208,-95.3089,"Everly , IA",FALSE
"15790",15790,41.187,-93.8488,"Truro , IA",FALSE
"15791",15791,41.2452,-95.1204,"Griswold , IA",FALSE
"15792",15792,42.9219,-93.8029,"Kanawha , IA",FALSE
"15793",15793,42.2891,-93.7767,"Stanhope , IA",FALSE
"15794",15794,42.3632,-94.015,"Lehigh , IA",FALSE
"15795",15795,41.462,-95.2088,"Walnut , IA",FALSE
"15796",15796,39.4693,-107.5135,"New Castle , CO",FALSE
"15797",15797,42.2182,-93.0842,"Union , IA",FALSE
"15798",15798,42.7329,-91.1443,"Guttenberg , IA",FALSE
"15799",15799,41.6479,-95.2867,"Harlan , IA",FALSE
"15800",15800,41.8561,-93.9401,"Woodward , IA",FALSE
"15801",15801,43.088,-91.327,"Monona , IA",FALSE
"15802",15802,41.6106,-91.007,"Wilton , IA",FALSE
"15803",15803,43.1325,-93.3413,"Clear Lake , IA",FALSE
"15805",15805,41.883,-91.0538,"Clarence , IA",FALSE
"15806",15806,42.8497,-94.6936,"Havelock , IA",FALSE
"15807",15807,42.098,-91.9025,"Shellsburg , IA",FALSE
"15808",15808,38.01,-122.6897,"Forest Knolls , CA",FALSE
"15809",15809,31.9582,-110.693,"Vail , AZ",FALSE
"15811",15811,47.7356,-121.9344,"Duvall , WA",FALSE
"15816",15816,34.9364,-85.3101,"Rossville , GA",FALSE
"15817",15817,41.4569,-92.0586,"South English , IA",FALSE
"15818",15818,43.3008,-94.5511,"Ringsted , IA",FALSE
"15819",15819,42.0801,-91.8041,"Palo , IA",FALSE
"15821",15821,42.4955,-96.2037,"Lawton , IA",FALSE
"15822",15822,40.7654,-92.4086,"Bloomfield , IA",FALSE
"15823",15823,42.3413,-93.1027,"Eldora , IA",FALSE
"15824",15824,42.4484,-96.0467,"Moville , IA",FALSE
"15825",15825,41.0305,-95.3751,"Emerson , IA",FALSE
"15826",15826,41.1033,-91.2842,"Morning Sun , IA",FALSE
"15827",15827,43.0035,-93.1915,"Rockwell , IA",FALSE
"15829",15829,41.6729,-90.5541,"Eldridge , IA",FALSE
"15830",15830,41.5023,-94.4495,"Menlo , IA",FALSE
"15831",15831,40.9802,-95.0899,"Stanton , IA",FALSE
"15832",15832,42.8311,-95.633,"Meriden , IA",FALSE
"15833",15833,42.8008,-95.9577,"Remsen , IA",FALSE
"15834",15834,42.6454,-92.0915,"Fairbank , IA",FALSE
"15835",15835,42.8417,-91.414,"Elkader , IA",FALSE
"15836",15836,41.5769,-92.8803,"Sully , IA",FALSE
"15837",15837,42.2791,-90.8418,"Bernard , IA",FALSE
"15838",15838,38.1199,-107.765,"Ridgway , CO",FALSE
"15839",15839,41.8588,-90.8591,"Wheatland , IA",FALSE
"15840",15840,42.2612,-95.0934,"Wall Lake , IA",FALSE
"15841",15841,42.0805,-95.0153,"Arcadia , IA",FALSE
"15842",15842,42.7014,-92.0746,"Oran , IA",FALSE
"15847",15847,0,0,"Fpo , AA",FALSE
"15854",15854,41.6696,-75.1105,"Milanville , PA",FALSE
"15855",15855,43.0507,-71.0809,"Epping , NH",FALSE
"15869",15869,43.2167,-79.75,"Stoney Creek , ON",FALSE
"15873",15873,35.5672,-79.3621,"Goldston , NC",FALSE
"15875",15875,45.5667,-62.65,"Stellarton , NS",FALSE
"15879",15879,40.1125,-104.9366,"Firestone , CO",FALSE
"15880",15880,41.3753,-71.6439,"Peace Dale , RI",FALSE
"15882",15882,42.0335,-70.9429,"East Bridgewater , MA",FALSE
"15883",15883,29.8853,-91.018,"Napoleonville , LA",FALSE
"15893",15893,32.458,-111.2974,"Marana , AZ",FALSE
"15899",15899,42.883,-71.1731,"Hampstead , NH",FALSE
"15931",15931,43.8624,-79.9945,"Caledon , ON",FALSE
"15939",15939,45.3884,-122.5945,"Gladstone , OR",FALSE
"15941",15941,39.0797,-84.4538,"Fort Thomas , KY",FALSE
"15945",15945,41.8373,-87.8291,"Riverside , IL",FALSE
"15952",15952,39.4939,-77.3403,"Walkersville , MD",FALSE
"15954",15954,34.9946,-91.8576,"Ward , AR",FALSE
"15955",15955,48.3259,-115.3596,"Libby , MT",FALSE
"15964",15964,33.771,-84.2632,"Avondale Estates , GA",FALSE
"15967",15967,48.0431,-122.059,"Lake Stevens , WA",FALSE
"15969",15969,45.5288,-122.359,"Troutdale , OR",FALSE
"15970",15970,47.2513,-122.3149,"Milton , WA",FALSE
"15975",15975,38.7593,-77.308,"Fairfax Station , VA",FALSE
"15976",15976,38.8743,-77.2269,"Merrifield , VA",FALSE
"15978",15978,41.6618,-87.7889,"Palos Heights , IL",FALSE
"15979",15979,41.8683,-87.8205,"Forest Park , IL",FALSE
"15981",15981,42.1154,-83.5693,"Willis , MI",FALSE
"15985",15985,39.9329,-122.0539,"Vina , CA",FALSE
"15993",15993,34.2313,-118.1486,"La Canada Flintridge , CA",FALSE
"16001",16001,34.2942,-118.5071,"Granada Hills , CA",FALSE
"16002",16002,34.2017,-118.0518,"Sierra Madre , CA",FALSE
"16003",16003,34.1906,-118.7637,"Oak Park , CA",FALSE
"16008",16008,34.3667,-118.4775,"Newhall , CA",FALSE
"16012",16012,34.2121,-118.2302,"Montrose , CA",FALSE
"16014",16014,33.8821,-84.7062,"Powder Springs , GA",FALSE
"16015",16015,33.6356,-84.2605,"Ellenwood , GA",FALSE
"16050",16050,49.7,-123.15,"Squamish , BC",FALSE
"16062",16062,45.7554,-84.6961,"Mackinaw City , MI",FALSE
"16067",16067,44.3,-81.1,"Chesley , ON",FALSE
"16068",16068,38.0756,-86.2046,"Mauckport , IN",FALSE
"16071",16071,42.8344,-93.6265,"Belmond , IA",FALSE
"16076",16076,34.9624,-117.6698,"Boron , CA",FALSE
"16078",16078,28.6812,-81.2763,"Winter Springs , FL",FALSE
"16080",16080,35.2913,-106.4469,"Placitas , NM",FALSE
"16081",16081,38.2211,-82.4393,"Wayne , WV",FALSE
"16082",16082,41.3618,-74.1188,"Highland Mills , NY",FALSE
"16107",16107,58.5167,-117.1333,"High Level , AB",FALSE
"16123",16123,44.6273,-85.6659,"Grawn , MI",FALSE
"16124",16124,31.5642,-106.1954,"Clint , TX",FALSE
"16127",16127,44.1324,-73.0362,"Bristol , VT",FALSE
"16128",16128,43.1196,-71.9317,"Hillsborough , NH",FALSE
"16129",16129,43.0649,-71.4112,"Hooksett , NH",FALSE
"16131",16131,30.4783,-83.6113,"Greenville , FL",FALSE
"16132",16132,41.6005,-93.6091," , IA",FALSE
"16134",16134,37.0264,-121.9414,"Soquel , CA",FALSE
"16135",16135,38.4378,-107.0601,"Gunnison , CO",FALSE
"16139",16139,39.7838,-103.5555,"Woodrow , CO",FALSE
"16144",16144,54.2678,-110.7508,"Bonnyville , AB",FALSE
"16146",16146,44.235,-93.4391,"Morristown , MN",FALSE
"16148",16148,50.7167,-127.5,"Port Hardy , BC",FALSE
"16150",16150,54.1167,-114.4,"Barrhead , AB",FALSE
"16153",16153,51.4667,-112.7,"Drumheller , AB",FALSE
"16154",16154,46.8543,-96.8284," , ND",FALSE
"16155",16155,49.7,-83.6667,"Hearst , ON",FALSE
"16157",16157,36.6873,-104.2485,"Raton , NM",FALSE
"16158",16158,37.3479,-77.9724,"Amelia Court House , VA",FALSE
"16160",16160,40.6172,-79.8058,"Tarentum , PA",FALSE
"16161",16161,44.35,-78.7333,"Lindsay , ON",FALSE
"16164",16164,48.8155,-98.2891,"Langdon , ND",FALSE
"16165",16165,44.9557,-97.106,"Watertown , SD",FALSE
"16168",16168,54.15,-113.8667,"Westlock , AB",FALSE
"16170",16170,49.2667,-122.7833,"Port Coquitlam , BC",FALSE
"16171",16171,46.8241,-95.8481,"Detroit Lakes , MN",FALSE
"16172",16172,43.707,-80.3777,"Fergus , ON",FALSE
"16174",16174,31.8217,-82.6268,"Hazlehurst , GA",FALSE
"16176",16176,43.356,-100.0037,"Winner , SD",FALSE
"16180",16180,44.1667,-77.3833,"Belleville , ON",FALSE
"16182",16182,53.5833,-116.4167,"Edson , AB",FALSE
"16184",16184,46.0901,-71.3089,"Thetford Mines , QC",FALSE
"16185",16185,47.5936,-92.4957,"Virginia , MN",FALSE
"16188",16188,45.6167,-61.65,"Tracadie , NS",FALSE
"16190",16190,35.4737,-81.2545,"Lincolnton , NC",FALSE
"16192",16192,45.6833,-73.6333,"Terrebonne , QC",FALSE
"16200",16200,44.1,-79.1167,"Uxbridge , ON",FALSE
"16206",16206,45.6549,-94.0844,"Sauk Rapids , MN",FALSE
"16210",16210,47.3723,-96.7475,"Halstad , MN",FALSE
"16216",16216,42.8667,-80.7333,"Tillsonburg , ON",FALSE
"16218",16218,43.6229,-94.1012,"Blue Earth , MN",FALSE
"16219",16219,46.333,-95.8423,"Underwood , MN",FALSE
"16220",16220,43.4065,-93.5156,"Lake Mills , IA",FALSE
"16221",16221,27.802,-81.9899,"Mulberry , FL",FALSE
"16223",16223,38.9346,-80.4427,"Walkersville , WV",FALSE
"16226",16226,41.573,-83.7644,"Monclova , OH",FALSE
"16227",16227,44.2997,-70.3698,"Buckfield , ME",FALSE
"16230",16230,42.2723,-72.402,"Belchertown , MA",FALSE
"16232",16232,41.0687,-94.3927,"Creston , IA",FALSE
"16234",16234,43.1883,-91.8616,"Calmar , IA",FALSE
"16240",16240,45.4333,-73.8333,"Beaconsfield , QC",FALSE
"16260",16260,45.4667,-73.8833,"Pierrefonds , QC",FALSE
"16274",16274,45.2667,-72.15,"Magog , QC",FALSE
"16275",16275,32.4781,-86.3598,"Millbrook , AL",FALSE
"16278",16278,45.3833,-73.75,"Châteauguay , QC",FALSE
"16279",16279,28.3031,-82.7048,"Port Richey , FL",FALSE
"16280",16280,45.5667,-73.9,"Saint-eustache , QC",FALSE
"16283",16283,42.8551,-80.4918,"Delhi , ON",FALSE
"16286",16286,44.5333,-78.55,"Bobcaygeon , ON",FALSE
"16294",16294,37.0532,-80.0963,"Callaway , VA",FALSE
"16297",16297,44.4333,-78.2667,"Lakefield , ON",FALSE
"16308",16308,43.8875,-81.3111,"Wingham , ON",FALSE
"16317",16317,45.85,-79.3667,"South River , ON",FALSE
"16338",16338,35.3099,-77.1821,"Vanceboro , NC",FALSE
"16343",16343,39.2126,-84.2994,"Miamiville , OH",FALSE
"16344",16344,41.4636,-75.6291,"Dickson City , PA",FALSE
"16345",16345,41.1838,-76.0341,"Nanticoke , PA",FALSE
"16347",16347,41.1332,-75.5499,"Pocono Lake , PA",FALSE
"16348",16348,40.1567,-76.2033,"Akron , PA",FALSE
"16349",16349,45.5447,-121.1543,"The Dalles , OR",FALSE
"16367",16367,27.9158,-82.229,"Valrico , FL",FALSE
"16378",16378,32.6437,-97.21,"Kennedale , TX",FALSE
"16385",16385,28.136,-82.4476,"Lutz , FL",FALSE
"16396",16396,29.978,-90.3879,"New Sarpy , LA",FALSE
"16398",16398,31.9708,-106.5943,"Anthony , TX",FALSE
"16404",16404,33.2906,-87.0944,"Mc Calla , AL",FALSE
"16405",16405,32.6337,-85.0055,"Fortson , GA",FALSE
"16419",16419,28.0985,-82.2734,"Thonotosassa , FL",FALSE
"16423",16423,38.3772,-85.5823,"Prospect , KY",FALSE
"16425",16425,31.8466,-111.0605,"Green Valley , AZ",FALSE
"16431",16431,27.7313,-82.362,"Sun City Center , FL",FALSE
"16444",16444,28.2167,-82.7223,"Elfers , FL",FALSE
"16445",16445,34.9653,-84.4095,"Mc Caysville , GA",FALSE
"16449",16449,32.1018,-86.1399,"Ramer , AL",FALSE
"16450",16450,30.3607,-81.4262,"Atlantic Beach , FL",FALSE
"16457",16457,42.1407,-90.9763,"Onslow , IA",FALSE
"16458",16458,27.7713,-82.4143,"Apollo Beach , FL",FALSE
"16462",16462,43.5136,-79.884,"Milton , ON",FALSE
"16463",16463,39.0024,-104.5271,"Peyton , CO",FALSE
"16464",16464,42.4553,-91.6876,"Winthrop , IA",FALSE
"16465",16465,41.5827,-95.0833,"Elk Horn , IA",FALSE
"16467",16467,42.706,-95.3188,"Alta , IA",FALSE
"16469",16469,41.8845,-92.7859,"Gilman , IA",FALSE
"16471",16471,41.6933,-94.3471,"Panora , IA",FALSE
"16475",16475,41.742,-94.0075,"Minburn , IA",FALSE
"16479",16479,43.95,-78.3,"Port Hope , ON",FALSE
"16480",16480,45.4054,-72.7286,"Granby , QC",FALSE
"16490",16490,41.6751,-70.0439,"South Harwich , MA",FALSE
"16491",16491,41.7029,-70.0621,"Harwich , MA",FALSE
"16492",16492,41.6872,-69.9794,"Chatham , MA",FALSE
"16493",16493,33.5809,-85.5437,"Heflin , AL",FALSE
"16496",16496,32.9954,-94.5662,"Hughes Springs , TX",FALSE
"16498",16498,36.1659,-86.7844," , TN",FALSE
"16503",16503,48.703,-122.192,"Acme , WA",FALSE
"16505",16505,38.7122,-85.0438,"Ghent , KY",FALSE
"16507",16507,40.2739,-80.0585,"Venetia , PA",FALSE
"16510",16510,33.3042,-98.5193,"Loving , TX",FALSE
"16514",16514,47.6206,-122.0227,"Sammamish , WA",FALSE
"16517",16517,44.5833,-75.6833,"Brockville , ON",FALSE
"16523",16523,43.3667,-80.9833,"Stratford , ON",FALSE
"16524",16524,42.9,-78.9333,"Fort Erie , ON",FALSE
"16557",16557,44.1,-77.5833,"Trenton , ON",FALSE
"16559",16559,42.95,-81.6167,"Strathroy , ON",FALSE
"16561",16561,45.4727,-75.5233,"Orleans , ON",FALSE
"16567",16567,46.1333,-80.4333,"Noelville , ON",FALSE
"16568",16568,41.2377,-94.8809,"Cumberland , IA",FALSE
"16601",16601,45.1977,-75.8384,"Richmond , ON",FALSE
"16603",16603,41.9056,-92.0991,"Blairstown , IA",FALSE
"16625",16625,45.6333,-73.8167,"Rosemère , QC",FALSE
"16631",16631,41.7681,-92.4453,"Brooklyn , IA",FALSE
"16635",16635,44.25,-76.95,"Napanee , ON",FALSE
"16637",16637,42.0073,-92.0768,"Van Horne , IA",FALSE
"16647",16647,42.0075,-92.1925,"Keystone , IA",FALSE
"16648",16648,42.5771,-92.1776,"Dunkerton , IA",FALSE
"16652",16652,42.7454,-92.9961,"Dumont , IA",FALSE
"16656",16656,45.6098,-74.6101,"Hawkesbury , ON",FALSE
"16664",16664,42.3167,-82.9,"Tecumseh , ON",FALSE
"16672",16672,42.1741,-91.9882,"Vinton , IA",FALSE
"16703",16703,48.6116,-93.4011,"Fort Frances , ON",FALSE
"16731",16731,43.9667,-79.25,"Stouffville , ON",FALSE
"16761",16761,45.6,-73.45,"Boucherville , QC",FALSE
"16768",16768,45.4,-73.9333,"Île-perrot , QC",FALSE
"16769",16769,48.55,-71.65,"Alma , QC",FALSE
"16771",16771,28.2344,-82.0495,"Kathleen , FL",FALSE
"16778",16778,45.55,-73.7333,"Chomedey , QC",FALSE
"16785",16785,47.8333,-69.5333,"Rivière-du-loup , QC",FALSE
"16809",16809,47.8184,-69.1505,"Saint-hubert , QC",FALSE
"16829",16829,45.5667,-73.2,"Beloeil , QC",FALSE
"16831",16831,46.3667,-75.9667,"Maniwaki , QC",FALSE
"16840",16840,45.5833,-73.6,"Saint-léonard , QC",FALSE
"16841",16841,45.6333,-73.85,"Sainte-thérèse , QC",FALSE
"16844",16844,45.5167,-73.65,"Mont-royal , QC",FALSE
"16849",16849,28.1913,-82.7227,"Holiday , FL",FALSE
"16853",16853,45.6,-73.6167,"Montréal-nord , QC",FALSE
"16858",16858,47.65,-70.1667,"La Malbaie , QC",FALSE
"16860",16860,38.6247,-109.0016,"Gateway , CO",FALSE
"16869",16869,45.65,-73.4833,"Pointe-aux-trembles , QC",FALSE
"16870",16870,40.6762,-107.8126,"Craig , CO",FALSE
"16871",16871,39.1813,-107.2261,"Carbondale , CO",FALSE
"16882",16882,46.1984,-74.6292,"Mont-tremblant , QC",FALSE
"16883",16883,45.2098,-72.7415,"Cowansville , QC",FALSE
"16885",16885,43.9638,-78.1702,"Cobourg , ON",FALSE
"16894",16894,46.0333,-74.2833,"Sainte-agathe-des-monts , QC",FALSE
"16939",16939,44.8983,-76.2449,"Perth , ON",FALSE
"16941",16941,46.85,-71.1833,"Beauport , QC",FALSE
"16966",16966,45.02,-75.6456,"Kemptville , ON",FALSE
"16972",16972,44.0421,-77.7382,"Brighton , ON",FALSE
"16991",16991,46.1667,-77.5667,"Deep River , ON",FALSE
"16992",16992,45.2289,-76.1974,"Almonte , ON",FALSE
"16993",16993,45.4363,-76.3625,"Arnprior , ON",FALSE
"17002",17002,48.4167,-71.25,"Jonquière , QC",FALSE
"17009",17009,45.3667,-73.55,"Delson , QC",FALSE
"17016",17016,45.7667,-74,"Saint-jérôme , QC",FALSE
"17023",17023,48.3333,-70.8667,"La Baie , QC",FALSE
"17038",17038,45.3833,-73.5167,"Candiac , QC",FALSE
"17051",17051,46.05,-73.1167,"Sorel , QC",FALSE
"17072",17072,45.5167,-73.6167,"Outremont , QC",FALSE
"17081",17081,43,-82.4,"Point Edward , ON",FALSE
"17092",17092,43.04,-80.8816,"Ingersoll , ON",FALSE
"17160",17160,43.1167,-79.2,"Thorold , ON",FALSE
"17200",17200,42.8833,-79.2333,"Port Colborne , ON",FALSE
"17224",17224,49.3833,-121.4333,"Hope , ON",FALSE
"17233",17233,45.3333,-80.0333,"Parry Sound , ON",FALSE
"17279",17279,45.4741,-76.6915,"Renfrew , ON",FALSE
"17290",17290,44.0238,-79.8045,"Tottenham , ON",FALSE
"17319",17319,45.6167,-79.4167,"Burks Falls , ON",FALSE
"17323",17323,42.5984,-82.3916,"Wallaceburg , ON",FALSE
"17325",17325,43.8333,-80.5333,"Arthur , ON",FALSE
"17351",17351,44.3,-77.8,"Campbellford , ON",FALSE
"17352",17352,43.9333,-79.5333,"King City , ON",FALSE
"17394",17394,44.6,-80.5833,"Meaford , ON",FALSE
"17405",17405,45.5333,-73.8167,"Sainte-dorothée , QC",FALSE
"17489",17489,43.3378,-79.8961,"Waterdown , ON",FALSE
"17581",17581,48.85,-67.5167,"Matane , QC",FALSE
"17584",17584,45.882,-73.284,"Lavaltrie , QC",FALSE
"17586",17586,43.25,-79.0667,"Niagara , ON",FALSE
"17588",17588,42.5956,-82.1844,"Dresden , ON",FALSE
"17595",17595,43.2667,-79.9333,"Dundas , ON",FALSE
"17608",17608,45.35,-76.0333,"Carp , ON",FALSE
"17614",17614,43.2,-80.3833,"Paris , ON",FALSE
"17620",17620,42.25,-82.4333,"Tilbury , ON",FALSE
"17627",17627,42.0511,-82.6013,"Leamington , ON",FALSE
"17641",17641,42.8376,-80.3073,"Simcoe , ON",FALSE
"17647",17647,36.2868,-77.018,"Ahoskie , NC",FALSE
"17663",17663,35.812,-77.0488,"Williamston , NC",FALSE
"17675",17675,36.3786,-80.63,"Dobson , NC",FALSE
"17683",17683,45.4667,-73.4667,"Saint-lambert , QC",FALSE
"17685",17685,45.5667,-73.85,"Duvernay , QC",FALSE
"17697",17697,45.2666,-74.1372,"Valleyfield , QC",FALSE
"17701",17701,46.7833,-71.3833,"Ancienne Lorette , QC",FALSE
